月間有効求人倍率（一般）,総人口に占める男性の割合,15歳未満人口割合,15～64歳人口割合,65歳以上人口割合,合計特殊出生率,転入者数（日本人移動者）,転出者数（日本人移動者）,結婚件数,離婚件数,着工建築物数,着工新設住宅戸数,着工新設持家数,着工新設貸家数,着工新設分譲住宅数,標準価格（平均価格）（住宅地）,標準価格（平均価格）（商業地）,幼稚園在園者数,幼稚園一園あたりの在園者数,幼稚園教員一人当たりの在園者数,小学校一校あたりの児童数,小学校教員一人当たりの児童数,中学校一校あたりの生徒数,中学校教員一人当たりの生徒数,中学校卒業者のうち進学者数の割合,高等学校一校あたりの生徒数,高等学校教員一人当たりの生徒数,高等学校卒業者のうち進学者数の割合,大学一校あたりの学生数,大学教員一人当たりの学生数,大学卒業者のうち進学者数の割合,一般旅券発行件数,着工新設住宅戸数,医療施設数,保育所等一施設あたりの在所児数,保育所等保育士一人当たりの在所児数,保育所等在所児数,消費支出（二人以上の世帯）,食料費（二人以上の世帯）,住居費（二人以上の世帯）,光熱・水道費（二人以上の世帯）,家具・家事用品費（二人以上の世帯）,被服及び履物費（二人以上の世帯）,保健医療費（二人以上の世帯）,交通・通信費（二人以上の世帯）,教育費（二人以上の世帯）,教養娯楽費（二人以上の世帯）,その他の消費支出（二人以上の世帯）,米FRB金利,日銀金利,NYダウ平均株価,日経平均株価,ドル円為替レート,県内総生産（名目）
0.294060855,0.470489078,0.125127154,0.614259844,0.256868843,1.38,0.01,0.02,0.004313574,0.00195072,0.003993187,0.003407753,0.002272563,0.000924025,0.000160922,21600,43500,0.00671939,70.44274809,11.7106599,215.4293948,13.84589739,236.7988506,12.15069301,0.971483843,484.1744186,12.39624888,0.418708073,1485.4,11.82643312,0.101242236,0.013791205,0.003407753,0.000742715,72.69757174,6.407003891,0.023979513,250433,64016,14169,27266,9315,9257,11535,31313,8267,24357,50936,0.25,0.094,11577.51,10228.92,87.67,3.134864735
0.212562927,0.470715835,0.125090383,0.623282719,0.248734635,1.26,0.01,0.02,0.00438684,0.002001446,0.003829356,0.003626898,0.002165582,0.001269704,0.000161967,22900,47000,0.007028923,73.09022556,11.84043849,217.2146893,14.00874476,246.0520231,12.47567409,0.972150523,478.1590909,12.41238938,0.42681686,1477.9,12.07434641,0.104160431,0.011974693,0.003626898,0.000740419,72.59219089,6.487979837,0.024197397,260264,65269,16660,26466,9082,9625,10777,33471,11278,21796,55839,0.25,0.102,10428.05,10546.44,94.49,3.098195228
0.289886948,0.470967742,0.128315412,0.625806452,0.243727599,1.30,0.01,0.02,0.00458853,0.00202724,0.004263799,0.004608602,0.002355556,0.0018681,0.0003319,24000,49800,0.007395699,76.99253731,12.08079625,215.8005464,14.03144431,247.7028571,12.63421743,0.973586718,481.1818182,12.4212379,0.422091464,1658.888889,12.41064007,0.087957825,0.011537634,0.004608602,0.000736918,73.25949367,6.638310075,0.024892473,262682,66660,15636,27856,8871,11450,10336,32770,9593,23441,56068,2,0.503,8776.39,8859.56,106.76,3.097274552
1.243086125,0.482477588,0.111654442,0.557457213,0.330888346,1.35,0.01,0.02,0.003658517,0.001429503,0.006075795,0.006407498,0.00309454,0.002546047,0.000751426,24800,45100,0.005176039,69.0326087,9.464977645,185.7339744,12.02012031,191.191358,10.47801083,0.979453346,407.25,10.90361446,0.45145274,1893.666667,8.104136947,0.151644596,0.015733496,0.006407498,0.000778321,78.57853403,8.038832351,0.024463733,295396,75776,14899,27385,10945,10431,13890,44216,10722,27779,59354,2.35,-0.071,28538.44,23656.62,108.23,3.839039589
1.382679742,0.48186946,0.112812248,0.561643836,0.324738114,1.41,0.01,0.02,0.003576954,0.001485093,0.006521354,0.006846092,0.003356164,0.00285415,0.000567284,24800,44900,0.005561644,71.15463918,9.762376238,187.5094937,12.19699465,193.4878049,10.54219269,0.979582618,421.1125,11.1923588,0.436627282,1895.5,8.152688172,0.155730897,0.014262691,0.006846092,0.00077357,75.5646438,7.675958188,0.023077357,286710,75110,11459,25872,9274,10551,12318,48015,7923,25982,60205,1.95,-0.07,23327.46,20014.77,111.41,3.819192587
1.348725324,0.4812749,0.114741036,0.566533865,0.3187251,1.47,0.01,0.02,0.003804781,0.001482072,0.006430279,0.006393625,0.003349801,0.002576096,0.000430279,24800,45300,0.005886056,72.42156863,9.875668449,184.4815951,12.24618204,200.1393939,10.82366437,0.984162095,430.575,11.37206999,0.445708654,1886.5,8.085,0.145876502,0.013239044,0.006393625,0.000758566,76.48918919,7.126920171,0.022550598,276258,71755,15542,25384,9352,10428,13667,34538,10128,25039,60424,1.25,-0.054,24719.22,22764.94,112.5,3.718517928
1.188568627,0.481072555,0.115930599,0.572555205,0.311514196,1.45,0.01,0.02,0.003842271,0.001480284,0.006417981,0.006288644,0.003439274,0.002388801,0.000375394,24700,45900,0.006159306,73.67924528,10.66939891,183.1856287,12.28841133,205.0239521,11.00578592,0.982346482,438.875,11.44766873,0.435542481,2255.6,8.226112327,0.147840532,0.011952681,0.006288644,0.000769716,76.51086957,7.005722817,0.022205047,288989,71061,14922,25048,10591,10948,14803,42315,7422,26790,65088,0.5,-0.043,19762.6,19114.37,103.97,3.602759464
1.082491258,0.481077592,0.117999928,0.574311852,0.30210598,1.49,0.01,0.02,0.004097393,0.00152861,0.006477054,0.006581775,0.003487825,0.002750873,0.000321977,24500,46200,0.006788872,76.87610619,11.3853211,184.505848,12.41656828,207.0409357,11.10887982,0.984107276,435.962963,11.44296824,0.441791045,2293.2,8.46199262,0.134717135,0.011774047,0.006581775,0.000765868,77.02770083,6.889742319,0.021731112,286439,70729,18443,26961,9502,11143,12291,39066,9212,25138,63955,0.25,0.074,17425.03,19033.71,123.31,3.569533774
0.981407167,0.480620155,0.120930233,0.580620155,0.294573643,1.44,0.01,0.02,0.004249612,0.001437984,0.006347287,0.006981395,0.003436434,0.002982171,0.00049845,24300,46400,0.009076744,83.04255319,12.24790795,185.9135447,12.66679757,210.0988372,11.17063369,0.987916908,442.9506173,11.60757037,0.426398975,2322,8.505494505,0.162140251,0.012746512,0.006981395,0.00075814,76.23142857,6.309056515,0.020682946,273964,68915,22237,28701,9363,11393,11924,37866,7110,23066,53390,0.25,0.066,17823.07,17450.77,101.73,3.453689922
0.937682885,0.479599692,0.122401848,0.588144727,0.286374134,1.46,0.01,0.02,0.004155504,0.001541955,0.007213241,0.007598152,0.003984604,0.003022325,0.000530408,24500,46400,0.009208622,84.23943662,12.28131417,183.2265193,12.70407968,206.5393258,11.17446809,0.98547486,447.5555556,11.69796709,0.423309788,2336,8.645447816,0.163174859,0.012881447,0.007598152,0.000769823,75.32758621,6.409290954,0.020180139,276415,65103,13991,28262,8664,9829,12342,44567,7771,25646,60240,0.25,0.073,16576.66,16291.31,99.66,3.350022325
